title	json_data	author	summary	ingredients	instructions
Rhubarb Custard Bars	{"name": "Rhubarb Custard Bars"}	La Verne and Pat Schumacher and family	<p>Yield: 3 dozen.</p>	[{'name': 'Crust', 'type': 'group'}, {'amount': '2', 'unit': 'cups', 'name': 'all-purpose flour', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'cold butter or margarine', 'notes': '', 'type': 'ingredient'}, {'name': 'Filling', 'type': 'group'}, {'amount': '2', 'unit': 'cups', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '7', 'unit': 'tbsp', 'name': 'all-purpose flour', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'whipping cream', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '', 'name': 'eggs (beaten)', 'notes': '', 'type': 'ingredient'}, {'amount': '5', 'unit': 'cups', 'name': 'fresh rhubarb (finely chopped) or frozen rhubarb (thawed', 'notes': 'drained)', 'type': 'ingredient'}, {'name': 'Topping', 'type': 'group'}, {'amount': '2', 'unit': '3 oz packages', 'name': 'cream cheese (softened)', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'vanilla extract', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'whipping cream (whipped)', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>In a bowl, combine flour and sugar; cut in butter until the mixture resembles coarse crumbs.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Press into a greased 13x9x2-inch baking pan. Bake at 350° for 10 minutes.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Meanwhile, for filling, combine sugar and flour in a bowl. Whisk in cream and eggs. Stir in the rhubarb.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour over the crust. Bake for 40-45 minutes or until custard is set. Cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>For topping, in a mixing bowl, beat cream cheese, sugar and vanilla until smooth; fold in whipped cream.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Spread over top. Cover and chill. Cut into bars. Store in the refrigerator.</p>', 'type': 'instruction', 'image_url': ''}]
Twix Cookie Bars	{"name": "Twix Cookie Bars"}	Alicia Brunkhorst		[{'amount': '1', 'unit': '', 'name': 'tube sugar cookie dough', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'pkg. caramels (48-52 caramels)', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'margarine', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'can sweetened condensed milk', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'pkg. chocolate chips', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': '0. peanut butter', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Press cookie dough in a jelly roll pan. Bake at 350° until light brown.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Melt caramels, margarine and milk in a microwave or double boiler.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour over cooled cookie dough. Cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Melt chocolate chips and peanut butter. Spread over caramel. Cool.</p>', 'type': 'instruction', 'image_url': ''}]
Best Zucchini Bars	{"name": "Best Zucchini Bars"}	Joey and Lora Brunkhorst		[{'amount': '1½', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'vegetable oil', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'flour', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'cinnamon', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'salt', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'baking soda', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'tsp', 'name': 'baking powder', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'cocoa', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'zucchini', 'notes': 'shredded', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'carrot', 'notes': 'shredded', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'oatmeal', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'walnuts (optional)', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Cream sugar, oil and eggs together. Then add flour, cinnamon, salt, baking soda, baking powder, vanilla and cocoa. Beat together 1-2 minutes until well mixed.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Fold in and mix well the shredded zucchini, carrot, oatmeal and walnuts.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake in a greased jelly roll pan at 350° for 15-20 minutes.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Frost with cream cheese frosting. Enjoy!</p>', 'type': 'instruction', 'image_url': ''}]
Buster Bars	{"name": "Buster Bars"}	In Memory of Patty McFadden Hertog and Mary Jo McFadden by Vince McFadden	<p>Serves 2 McFaddens. Also submitted by Pam (Brunkhorst) French, niece to Mary Jo.</p>	[{'name': 'Topping', 'type': 'group'}, {'amount': '2', 'unit': 'cups', 'name': 'powdered sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1½', 'unit': 'cup', 'name': 'evaporated milk', 'notes': '', 'type': 'ingredient'}, {'amount': '⅔', 'unit': 'cup', 'name': 'chocolate chips', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'butter', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'name': 'Crust', 'type': 'group'}, {'amount': '½', 'unit': '', 'name': 'gal. vanilla ice cream', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'lb', 'name': 'Oreo cookies', 'notes': '', 'type': 'ingredient'}, {'amount': '1½', 'unit': 'cup', 'name': 'Spanish peanuts (optional)', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'butter (melted)', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Mix sugar, milk, chocolate chips and butter and boil for 8 minutes. After boiling for 8 minutes, add vanilla and let cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Soften vanilla ice cream. Crush Oreos and mix with melted butter. Spread in a</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>9x13-inch pan and put in the refrigerator to set up for a while.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Put Spanish peanuts on crust if desired and then ice cream and then topping. Freeze it.</p>', 'type': 'instruction', 'image_url': ''}]
Bread Pudding	{"name": "Bread Pudding"}	Alyce Woltzen McFadden		[{'amount': '1', 'unit': '', 'name': 'loaf French bread (torn into pieces)', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'quart', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': 'tbsp', 'name': 'butter (melted)', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tbsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '½-¾', 'unit': 'cup', 'name': 'raisins', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'egg', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'stick butter', 'notes': '', 'type': 'ingredient'}]	[{'name': 'Bread', 'type': 'group'}, {'text': '<p>Spread bread pieces evenly in a greased 9x13-inch pan. Sprinkle with cinnamon and raisins.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Combine ½ quart milk, 3 eggs, 3 (tbsp) butter, 2 (cups) sugar and vanilla. Pour over bread and bake for 1 hour at 350°.</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Butter Sauce Topping', 'type': 'group'}, {'text': '<p>Combine all remaining ingredients together and heat until boiling. Then add 4 (tbsp) whiskey. Pour this over baked pudding.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Serve this over baked custard. Serve warm with ice cream or whipped cream.</p>', 'type': 'instruction', 'image_url': ''}]
Cherry Pineapple Angel Food Cake	{"name": "Cherry Pineapple Angel Food Cake"}	Angie Brunkhorst	<p>Grandpa Moeller's favorite dessert!</p>	[{'amount': '1', 'unit': '', 'name': 'large round angel food cake', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'water', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'Cool Whip', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '9 oz can', 'name': 'crushed pineapple (drained)', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '3 oz package', 'name': 'cherry Jello', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Bring sugar, water, pineapple and Jello to a boil and simmer for 10 minutes, stirring occasionally. Chill until set. (About 2 hours-looks rubbery.)</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Fold in Cool Whip. Slice cake crosswise into 3 layers.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Spread filling between layers and then cover top and sides. If you have excess filling, fill the cake hole, otherwise it can fill with tiny marshmallows.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Freeze. To freeze, put into the freezer, uncovered, until the topping has hardened. Then cover with plastic wrap or foil.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Serve cake directly from the freezer. Keeps in the freezer for a long time.</p>', 'type': 'instruction', 'image_url': ''}]
Cherry Dessert	{"name": "Cherry Dessert"}	In memory of my mom, Mae Brunkhorst, by Patricia Maas	<p>Serves 6.</p>	[{'amount': '10', 'unit': '', 'name': 'graham crackers', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'butter (softened)', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'pt. whipping cream', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tbsp', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'small marshmallows', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'can cherry pie filling', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Roll graham crackers. Mix softened butter with the graham cracker crumbs. Spread in a 9-inch square pan. Save ½ (cup) of crumbs to sprinkle on top.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Whip the whipping cream; add sugar and vanilla. Mix with small marshmallows. Place ½ of this mixture on top of the crust.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Add cherry pie filling. Spread remainder of cream topping on top. Add crumbs.</p>', 'type': 'instruction', 'image_url': ''}]
Gooey Chocolate Caramel Fantasy	{"name": "Gooey Chocolate Caramel Fantasy"}	Ann and Philip Brunkhorst	<p>Makes 12 servings.</p>	[{'amount': '2', 'unit': 'cups', 'name': 'chocolate wafer crumbs (about 38 wafers)', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'butter (melted)', 'notes': '', 'type': 'ingredient'}, {'amount': '30', 'unit': '', 'name': 'vanilla caramels', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'caramel ice cream topping', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'whipping cream', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'pecans', 'notes': 'chopped', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'semisweet chocolate pieces', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'whipping cream', 'notes': '', 'type': 'ingredient'}]	[{'name': 'Base', 'type': 'group'}, {'text': '<p>Combine chocolate crumbs and melted butter. Press into the bottom of a 9-inch springform pan.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake in a 350° oven for 10 minutes. Cool slightly.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>In a heavy bottom medium size pan, melt caramels and caramel ice cream topping over low heat, stirring often. Stir in first ¼ (cup) whipping cream.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Remove from heat; stir in nuts. Spread over the crust.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Cool, cover and chill for 1 hour.</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Topping', 'type': 'group'}, {'text': '<p>In a heavy small saucepan, melt chocolate. Remove from heat; stir in remaining whipping cream.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Drizzle or spread over caramel-pecan mixture. Cover and chill for at least 1 hour.</p>', 'type': 'instruction', 'image_url': ''}]
Individual Cherry Cheesecakes	{"name": "Individual Cherry Cheesecakes"}	Monica Piersall		[{'amount': '2', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '8 oz packages', 'name': 'cream cheese', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'can cherry pie filling', 'notes': '', 'type': 'ingredient'}, {'amount': '16', 'unit': '', 'name': 'vanilla wafers', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Beat eggs with sugar. Break in pieces of cream cheese; beat until smooth. Add vanilla.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Place 16 cupcake papers (foil is best) in muffin tins. Drop 1 vanilla wafer in the bottom of each tin. Fill ¾ full with cream cheese mixture.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake in a 375° oven for 10-12 minutes. They will look pale and sunken after cooking.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Top with a spoonful of cherries after they have cooled.</p>', 'type': 'instruction', 'image_url': ''}]
Drumstick Cake	{"name": "Drumstick Cake"}	None		[{'name': 'Crust', 'type': 'group'}, {'amount': '2', 'unit': 'cups', 'name': 'vanilla wafers (crushed)', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'peanuts', 'notes': 'chopped', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'butter (melted)', 'notes': '', 'type': 'ingredient'}, {'name': 'Filling', 'type': 'group'}, {'amount': '1', 'unit': '8 oz package', 'name': 'cream cheese', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'powdered sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'crunchy peanut butter', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'Cool Whip', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'small packages', 'name': 'instant chocolate pudding', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': 'cups', 'name': 'cold milk', 'notes': '', 'type': 'ingredient'}, {'name': 'Topping', 'type': 'group'}, {'amount': '2', 'unit': 'cups', 'name': 'Cool Whip', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'Hershey bars', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'peanuts', 'notes': 'chopped', 'type': 'ingredient'}]	[{'name': 'Crust', 'type': 'group'}, {'text': '<p>Mix together; pat into bottom of a 9x13-inch glass pan.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake at 350° for 10 minutes.</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Filling', 'type': 'group'}, {'text': '<p>Cream the first 3 ingredients together. Top with whipped topping.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Spread over the bottom of the cooled crust.</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Pudding', 'type': 'group'}, {'text': '<p>Beat pudding and milk until stiff. Spread over cream cheese mixture.</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Topping', 'type': 'group'}, {'text': '<p>Spread Cool Whip over pudding. (Usually takes a 12 oz carton of Cool Whip.)</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Grate the Hershey bars over the topping and sprinkle the peanuts over that.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Put into the freezer for 2 hours, then refrigerate.</p>', 'type': 'instruction', 'image_url': ''}]
Cherry Cheesecake	{"name": "Cherry Cheesecake"}	Alicia Brunkhorst	<p>This is a very quick, tasty dessert.</p>	[{'amount': '1', 'unit': '9-inch', 'name': 'pie shell (baked) or pie shell of your choice', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '8 oz package', 'name': 'cream cheese', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'sour cream', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'pkg. instant vanilla pudding', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'About 4 oz Cool whip or whipped cream', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Blend cream cheese, milk and sour cream together with a mixer. Add instant pudding and Cool Whip.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour in pie shell; top with cherry pie filling. It can be served after chilling for about 30 minutes.</p>', 'type': 'instruction', 'image_url': ''}]
Luscious Almond Cheesecake	{"name": "Luscious Almond Cheesecake"}	LaVerne and Pat Schumacher and family	<p>Yield: 14-16 servings.</p>	[{'name': 'Crust', 'type': 'group'}, {'amount': '1¼', 'unit': 'cup', 'name': 'vanilla wafers (crushed)', 'notes': '', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'almonds (finely chopped)', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'butter or margarine (melted)', 'notes': '', 'type': 'ingredient'}, {'name': 'Filling', 'type': 'group'}, {'amount': '4', 'unit': '8 oz packages', 'name': 'cream cheese (softened)', 'notes': '', 'type': 'ingredient'}, {'amount': '1¼', 'unit': '', 'name': '(cups) sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '4', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'I/2 (tsp) almond extract', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla extract', 'notes': '', 'type': 'ingredient'}, {'name': 'Topping', 'type': 'group'}, {'amount': '1', 'unit': '16 oz', 'name': 'carton sour cream', 'notes': '', 'type': 'ingredient'}, {'amount': '¼', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tsp', 'name': 'vanilla extract', 'notes': '', 'type': 'ingredient'}, {'amount': '⅓', 'unit': 'cup', 'name': 'sliced almonds (toasted)', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>In a bowl, combine wafers, almonds and sugar; add butter and mix well. Press into the bottom of an ungreased 10-inch springform pan; set aside.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>In a large mixing bowl, beat cream cheese and sugar until creamy. Add eggs, 1 at a time,</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>beating well after each addition. Add extracts; beat just until blended.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour into the crust. Bake at 350° for 55 minutes or until the center is almost set.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Remove from the oven; let stand for 5 minutes.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Combine sour cream, sugar and vanilla; spread over filling. Return to the oven for 5 minutes. Cool on a wire rack; chill overnight.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Just before serving, sprinkle with almonds and remove the sides of the pan. Store in the refrigerator.</p>', 'type': 'instruction', 'image_url': ''}]
Individual Oreo Cheesecakes	{"name": "Individual Oreo Cheesecakes"}	None		[{'amount': '36', 'unit': '', 'name': 'cupcake liners', 'notes': '', 'type': 'ingredient'}, {'amount': '36', 'unit': '', 'name': 'Oreo cookies', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '8 oz packages', 'name': 'cream cheese (room temperature)', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '14 oz can', 'name': 'sweetened condensed milk', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tbsp', 'name': 'vanilla', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'mini chocolate chips', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tbsp', 'name': 'flour', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Preheat the oven to 300°. Line cupcake pans with cupcake papers (foil work best). Place 1 Oreo in the bottom of each paper.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Beat cream cheese until fluffy. Add condensed milk, eggs and vanilla.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>In a small bowl, toss ½ (cup) chocolate chips with flour; stir into cheese mixture.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Fill each cup ¾ full. Sprinkle ½ (tsp) chips over each.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake for 19 minutes. Cool at room temperature; then chill.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>servings.</p>', 'type': 'instruction', 'image_url': ''}]
Chocolate Cherry Cheesecake	{"name": "Chocolate Cherry Cheesecake"}	Donna Brunkhorst Litman		[{'name': 'Crust', 'type': 'group'}, {'amount': '2', 'unit': 'cups', 'name': 'chocolate cookie crumbs', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': 'tbsp', 'name': 'butter (melted)', 'notes': '', 'type': 'ingredient'}, {'name': 'Filling', 'type': 'group'}, {'amount': '4', 'unit': '8 oz packages', 'name': 'cream cheese', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': '', 'name': 'eggs', 'notes': '', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'tsp', 'name': 'almond extract', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'whipping cream', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '21 oz can', 'name': 'cherry pie filling', 'notes': '', 'type': 'ingredient'}, {'name': 'Glaze:', 'type': 'group'}, {'amount': '½', 'unit': 'cup', 'name': 'whipping cream', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '6 oz package', 'name': 'semisweet chocolate chips', 'notes': '', 'type': 'ingredient'}]	[{'name': 'Crust And Filling', 'type': 'group'}, {'text': '<p>Heat oven to 325°. In a medium bowl, combine crust ingredients. Mix well and press into the bottom and 1 inch up on sides of an ungreased 10-inch springform pan.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Beat cream cheese in a large bowl until smooth. Add eggs, 1 at a time, beating well after each addition.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Add sugar and almond extract; beat until smooth. Add ½ (cup) whipping cream. Blend well.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Spoon 3½ (cup) cream mixture into crust. Spread evenly. Carefully spoon 1 (cup) pie filling over cream cheese mixture. (Reserve the rest of the pie filling for garnish.) Spoon remaining cream cheese mixture evenly over pie filling.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Bake at 325° for 1 hour 5 minutes to 1 hour 15 minutes or until the center is set. Cool for 1 hour.</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Glaze', 'type': 'group'}, {'text': '<p>Bring ½ (cup) whipping cream to a boil in a small saucepan. Remove from heat. Stir in chocolate chips, stir until melted.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Line a plate with waxed paper; remove sides of the springform pan. Pour glaze over the cooled cake, allowing it to flow over the sides.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Refrigerate 3 hours before serving. Garnish with remaining cherries.</p>', 'type': 'instruction', 'image_url': ''}]
